University,Latitude,Longitude,Biome,Proximity to nearest edge,Proximity to safety,Proximity to human structures,Date,Time,Clouds,Precipitation,Wind,Squirrel species,Total vigilance,Total foraging,Total Alert Feeding,Total social,Total other,Total out of sight,Notes and comments,Number of conspecifics,Direct interaction with conspecifics,Conspecifics within 15m,Notes on conspecific behavior,Number of humans present other than yourself,Direct interaction with humans,Humans within 15m ,Notes on human behavior,Number of dogs present,Direct interaction with dogs,Dogs within 15m,Notes on dog behavior,Other animals present
Gonzaga University,47.66757,-117.40453000000001,Core college campus,> 10m,0m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Monday, February 15, 2021",2:00:00 AM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),1.0,8.0,0.0,1,6.0,0,,1,Yes,Yes,birds,0.0,No,Yes,,0.0,No,No,,
Gonzaga University,47.66796,-117.40226000000001,Core college campus,0 - 3m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Tuesday, February 16, 2021",2:13:00 AM,Overcast,No,Gusty,Eastern gray squirrel (Sciurus carolinensis),8.0,3.0,1.0,2,1.0,0,This squirrel was very mobile and some of the distances recorded were not accurate for the whole observation period.,2,Yes,Yes,Another Eastern gray squirrel began to climb the same tree and our focal animal chased it up and down the tree and we lost sight of the other squirrel.,3.0,No,Yes,Other members of the lab were observing the other squirrel that interacted with our focal animal.,0.0,No,No,,
Gonzaga University,47.667759999999994,-117.40291,Core college campus,> 10m,< 3m,Within 15 meters of sidewalks,"Wednesday, February 17, 2021",2:51:00 AM,Mostly cloudy,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),3.0,0.0,2.0,0,0.0,11,,1,No,"Yes, No",,1.0,Yes,Yes,feeding squirrel,0.0,,,,
Gonzaga University,47.667633,-117.402606,Core college campus,3 - 10m,3 - 15m,Within 15 meters of paved road,"Thursday, February 18, 2021",2:58:00 AM,None,No,None,Eastern gray squirrel (Sciurus carolinensis),8.0,8.0,1.0,0,3.0,0,She squirrel was running around a lot and did not seem to be having much luck finding food.,1,No,Yes,,0.0,,,,0.0,,,,
Gonzaga University,47.667651,-117.402332,Core college campus,3 - 10m,0m,"Within 15 meters of paved road, Within 15 meters of buildings","Friday, February 19, 2021",4:04:00 AM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),2.0,8.0,4.0,0,0.0,3,This squirrel got very close to me and seemed to be fairly I afraid as he foraged around and looked for food.,2,No,No,The other two interacted but not with the focal animal.,0.0,,,"Again, just seemed very comfortable with myself and my partner being close and was even somewhat curious about us being there. ",0.0,,,,
Gonzaga University,47.666470000000004,117.4083,Core college campus,3 - 10m,0m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Saturday, February 20, 2021",4:51:00 AM,Partly cloudy,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),3.0,2.0,2.0,0,5.0,4,,0,No,No,,2.0,No,Yes,Just walking on the sidewalk,0.0,No,No,,
Gonzaga University,47.66875,117.39365,Core college campus,0 - 3m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Sunday, February 21, 2021",8:15:00 AM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),0.0,3.0,11.0,0,0.0,1,Two squirrels ate food close together.,2,Yes,Yes,The squirrels chattered. Then they ate food close together.,1.0,No,Yes,,1.0,Yes,Yes,A lady walked her dog past Marian Hall. The squirrels dispersed as a result.,
Gonzaga University,47.66877,117.39399999999999,Core college campus,0 - 3m,< 3m,Within 15 meters of sidewalks,"Monday, February 22, 2021",9:14:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),3.0,4.0,0.0,0,1.0,8,The squirrel ran away after a couple of minutes.,0,No,No,,0.0,No,No,,0.0,No,No,,
Gonzaga University,47.667371,-117.40456599999999,Core college campus,3 - 10m,3 - 15m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Tuesday, February 23, 2021",9:29:00 AM,Mostly cloudy,No,None,Eastern gray squirrel (Sciurus carolinensis),2.0,1.0,12.0,0,1.0,0,N/a,1,No,Yes,The other squirrel observed the focus squirrel as it ate,1.0,Yes,Yes,"The human who was in contact with the squirrel actually feeds the squirrels.
The focus squirrel is one that she regularly feeds. The food is almonds and peanuts. ",0.0,No,No,N/a,
Gonzaga University,47.66727,-117.4045,Core college campus,3 - 10m,0m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Wednesday, February 24, 2021",9:49:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),9.0,7.0,0.0,0,0.0,0,,4,No,Yes,"All squirrels eating off of ground together, but none were interacting. ",3.0,No,Yes,Others observing other squirrels,0.0,No,No,,
